t(s), cv(%), R($), iR($), C($), iC($), d
267,62.4,5815.561,6061.122,45493875.2,206790.123,16.8
268,62.4,5853.617,6101.974,45494517.17,207561.728,16.8
269,62.4,5874.416,6123.815,45495159.15,208333.333,16.8
270,62.4,5891.681,6141.841,45495801.12,209104.938,16.8
271,62.4,5927.712,6179.159,45496443.1,209876.543,16.8
272,62.4,5956.706,6209.847,45497085.08,210648.148,16.8
273,62.4,5971.104,6225.587,45497727.05,211419.753,16.8
274,62.4,5999.886,6255.123,45498369.03,212191.358,16.8
275,62.4,6036.525,6292.16,45499011,212962.963,16.8
276,62.4,6058.564,6317.272,45499652.98,213734.568,16.8
277,62.4,6073.032,6333.174,45500294.95,214506.173,16.8
278,62.4,6112.473,6373.643,45500936.93,215277.778,16.8
279,62.4,6151.714,6413.913,45501578.9,216049.383,16.8
280,62.4,6170.001,6433.521,45502220.88,216820.988,16.8
281,62.4,6186.59,6451.069,45502862.85,217592.593,16.8
282,62.4,6223.624,6489.47,45503504.83,218364.198,16.8
283,62.4,6251.631,6518.813,45504146.8,219135.802,16.8
284,62.4,6263.145,6531.11,45504788.78,219907.407,16.8
285,62.4,6295.517,6564.224,45505430.75,220679.012,16.8
286,62.4,6336.591,6605.632,45506072.73,221450.617,16.8
287,62.4,6354.598,6626.153,45506714.71,222222.222,16.8
288,62.4,6369.705,6641.875,45507356.68,222993.827,16.8
289,62.4,6402.865,6677.674,45507998.66,223765.432,16.8
290,62.4,6442.84,6718.118,45508640.63,224537.037,16.8
291,62.4,6463.944,6739.455,45509282.61,225308.642,16.8
292,62.4,6481.257,6757.143,45509924.58,226080.247,16.8
293,62.4,6518.425,6795.375,45510566.56,226851.852,16.8
294,62.4,6548.627,6825.741,45511208.53,227623.457,16.8
295,62.4,6563.013,6840.322,45511850.51,228395.062,16.8
296,62.4,6592.42,6870.24,45512492.48,229166.667,16.8
297,62.4,6631.112,6909.147,45513134.46,229938.272,16.8
298,62.4,6656.399,6934.899,45513776.43,230709.877,16.8
299,62.4,6672.947,6952.07,45514418.41,231481.481,16.8
300,62.4,6713.407,6993.338,45515060.38,232253.086,16.8
301,62.4,6751.97,7032.68,45515702.36,233024.691,16.8
302,62.4,6768.093,7049.054,45516344.33,233796.296,16.8
303,62.4,6788.745,7070.317,45516986.31,234567.901,16.8
304,62.4,6825.444,7109.406,45517628.29,235339.506,16.8
305,62.4,6853.921,7138.516,45518270.26,236111.111,16.8
306,62.4,6868.174,7152.974,45518912.24,236882.716,16.8
307,62.4,6903.031,7188.751,45519554.21,237654.321,16.8
308,62.4,6945.404,7231.807,45520196.19,238425.926,16.8
309,62.4,6964.088,7252.332,45520838.16,239197.531,16.8
310,62.4,6980.927,7269.34,45521480.14,239969.136,16.8
311,62.4,7016.842,7306.941,45522122.11,240740.741,16.8
312,62.4,7056.219,7347.256,45522764.09,241512.346,16.8
313,62.4,7075.367,7368.809,45523406.06,242283.951,16.8
314,62.4,7096.441,7390.266,45524048.04,243055.556,16.8
315,62.4,7133.276,7428.267,45524690.01,243827.16,16.8
316,62.4,7158.94,7455.01,45525331.99,244598.765,16.8
317,62.4,7175.148,7471.865,45525973.96,245370.37,16.8
318,62.4,7205.052,7502.199,45526615.94,246141.975,16.8
319,62.4,7245.316,7543.079,45527257.91,246913.58,16.8
320,62.4,7269.315,7568.053,45527899.89,247685.185,16.8
321,62.4,7287.14,7586.654,45528541.87,248456.79,16.8
322,62.4,7329.011,7629.417,45529183.84,249228.395,16.8
323,62.4,7363.938,7667.064,45529825.82,250000,16.8
324,62.4,7377.36,7681.313,45530467.79,250771.605,16.8
325,62.4,7400.563,7712.364,45531109.77,251543.21,16.8
326,62.4,7439.618,7751.731,45531751.74,252314.815,16.8
327,62.325,7464.044,7778.711,45532392.95,253086.42,16.9
328,62.325,7477.685,7794.609,45533034.15,253858.025,16.9
329,62.325,7511.628,7832.639,45533675.35,254629.63,16.9
330,62.325,7552.9,7878.497,45534316.56,255401.235,16.9
331,62.325,7571.719,7898.843,45534957.76,256172.84,16.9
332,62.325,7588.678,7916.708,45535598.96,256944.444,16.9
333,62.325,7626.888,7956.189,45536240.17,257716.049,16.9
334,62.325,7658.904,7992.714,45536881.37,258487.654,16.9
335,62.325,7668.98,8006.035,45537522.58,259259.259,16.9
336,62.325,7693.814,8032.761,45538163.78,260030.864,16.9
337,62.325,7730.443,8070.348,45538804.98,260802.469,16.9
338,62.325,7755.145,8096.698,45539446.19,261574.074,16.9
339,62.325,7768.467,8111.692,45540087.39,262345.679,16.9
340,62.325,7799.146,8144.725,45540728.59,263117.284,16.9
341,62.325,7841.342,8188.002,45541369.8,263888.889,16.9
342,62.325,7866.78,8214.485,45542011,264660.494,16.9
343,62.325,7884.813,8233.771,45542652.21,265432.099,16.9
344,62.325,7928.476,8278.305,45543293.41,266203.704,16.9
345,62.325,7961.396,8312.421,45543934.61,266975.309,16.9
346,62.325,7975.312,8327.405,45544575.82,267746.914,16.9
347,62.325,8009.619,8362.726,45545217.02,268518.519,16.9
348,62.325,8049.039,8402.886,45545858.22,269290.123,16.9
349,62.325,8070.883,8427.092,45546499.43,270061.728,16.9
350,62.325,8089.378,8445.984,45547140.63,270833.333,16.9
351,62.325,8127.433,8485.338,45547781.83,271604.938,16.9
352,62.325,8173.609,8532.193,45548423.04,272376.543,16.9
353,62.325,8193.909,8553.217,45549064.24,273148.148,16.9
354,62.325,8212.028,8571.463,45549705.45,273919.753,16.9
355,62.325,8251.898,8612.061,45550346.65,274691.358,16.9
356,62.325,8283.831,8644.574,45550987.85,275462.963,16.9
357,62.325,8297.02,8657.958,45551629.06,276234.568,16.9
358,62.325,8333.097,8694.667,45552270.26,277006.173,16.9
359,62.325,8370.967,8733.512,45552911.46,277777.778,16.9
360,62.325,8394.693,8757.585,45553552.67,278549.383,16.9
361,62.325,8411.727,8775.548,45554193.87,279320.988,16.9
362,62.325,8444.828,8809.857,45554835.08,280092.593,16.9
363,62.325,8489.348,8855.46,45555476.28,280864.198,16.9
364,62.325,8513.725,8880.221,45556117.48,281635.802,16.9
365,62.325,8533.604,8900.705,45556758.69,282407.407,16.9
366,62.325,8580.121,8947.872,45557399.89,283179.012,16.9
367,62.325,8612.513,8980.574,45558041.09,283950.617,16.9
368,62.325,8629.954,8998.068,45558682.3,284722.222,16.9
369,62.325,8666.912,9038.537,45559323.5,285493.827,16.9
370,62.325,8707.309,9079.798,45559964.71,286265.432,16.9
371,62.325,8731.714,9106.517,45560605.91,287037.037,16.9
372,62.325,8750.921,9126.23,45561247.11,287808.642,16.9
373,62.325,8792.226,9167.862,45561888.32,288580.247,16.9
374,62.325,8838.069,9215.541,45562529.52,289351.852,16.9
375,62.325,8856.964,9236.929,45563170.72,290123.457,16.9
376,62.325,8874.303,9255.456,45563811.93,290895.062,16.9
377,62.325,8919.136,9301.257,45564453.13,291666.667,16.9
378,62.325,8944.738,9328.116,45565094.33,292438.272,16.9
379,62.325,8959.748,9343.527,45565735.54,293209.877,16.9
380,62.325,8997.299,9381.824,45566376.74,293981.481,16.9
381,62.325,9036.492,9422.196,45567017.95,294753.086,16.9
382,62.325,9060.24,9446.258,45567659.15,295524.691,16.9
383,62.325,9078.043,9465.037,45568300.35,296296.296,16.9
384,62.325,9111.66,9500.195,45568941.56,297067.901,16.9
385,62.325,9154.018,9545.374,45569582.76,297839.506,16.9
386,62.325,9177.014,9569.194,45570223.96,298611.111,16.9
387,62.325,9197.407,9590.599,45570865.17,299382.716,16.9
388,62.325,9243.17,9639.298,45571506.37,300154.321,16.9
389,62.325,9268.752,9671.109,45572147.58,300925.926,16.9
390,62.325,9284.585,9687.928,45572788.78,301697.531,16.9
391,62.325,9325.637,9731.569,45573429.98,302469.136,16.9
392,62.325,9367.682,9774.103,45574071.19,303240.741,16.9
393,62.325,9390.377,9799.793,45574712.39,304012.346,16.9
