# t(s), cv(%), R($), iR($), C($), iC($), d
340.000,75.000,1.526,1.526,771.605,771.605,0.000
341.000,75.000,2.147,2.147,771.605,771.605,0.000
342.000,75.000,0.565,0.565,771.605,771.605,0.000
343.000,75.000,0.903,0.903,771.605,771.605,0.000
344.000,75.000,1.872,1.872,771.605,771.605,0.000
345.000,75.000,4.328,4.328,771.605,771.605,0.000
346.000,75.000,0.578,0.578,771.605,771.605,0.000
347.000,75.000,2.107,2.107,771.605,771.605,0.000
348.000,75.000,2.531,2.531,771.605,771.605,0.000
349.000,75.000,1.128,1.128,771.605,771.605,0.000
350.000,75.000,1.291,1.291,771.605,771.605,0.000
351.000,75.000,2.126,2.126,771.605,771.605,0.000
352.000,75.000,2.163,2.163,771.605,771.605,0.000
353.000,75.000,0.955,0.955,771.605,771.605,0.000
354.000,75.000,1.488,1.488,771.605,771.605,0.000
355.000,75.000,2.372,2.372,771.605,771.605,0.000
356.000,75.000,1.659,1.659,771.605,771.605,0.000
357.000,75.000,0.596,0.596,771.605,771.605,0.000
358.000,75.000,1.843,1.843,771.605,771.605,0.000
359.000,75.000,1.934,1.934,771.605,771.605,0.000
360.000,75.000,1.093,1.093,771.605,771.605,0.000
361.000,75.000,0.504,0.504,771.605,771.605,0.000
362.000,75.000,1.757,1.757,771.605,771.605,0.000
363.000,75.000,1.735,1.735,771.605,771.605,0.000
364.000,75.000,1.235,1.235,771.605,771.605,0.000
365.000,75.000,0.925,0.925,771.605,771.605,0.000
366.000,75.000,1.987,1.987,771.605,771.605,0.000
367.000,75.000,2.039,2.039,771.605,771.605,0.000
368.000,75.000,1.338,1.338,771.605,771.605,0.000
369.000,75.000,1.614,1.614,771.605,771.605,0.000
370.000,75.000,4.283,4.283,771.605,771.605,0.000
371.000,75.000,1.121,1.121,771.605,771.605,0.000
372.000,75.000,1.349,1.349,771.605,771.605,0.000
373.000,75.000,1.488,1.488,771.605,771.605,0.000
374.000,75.000,2.254,2.254,771.605,771.605,0.000
375.000,75.000,1.006,1.006,771.605,771.605,0.000
376.000,75.000,0.699,0.699,771.605,771.605,0.000
377.000,75.000,2.854,2.854,771.605,771.605,0.000
378.000,75.000,2.605,2.605,771.605,771.605,0.000
379.000,75.000,0.478,0.478,771.605,771.605,0.000
380.000,75.000,2.693,2.693,771.605,771.605,0.000
381.000,75.000,2.375,2.375,771.605,771.605,0.000
382.000,75.000,1.388,1.388,771.605,771.605,0.000
383.000,75.000,0.558,0.558,771.605,771.605,0.000
384.000,75.000,1.622,1.622,771.605,771.605,0.000
385.000,75.000,3.595,3.595,771.605,771.605,0.000
386.000,75.000,0.792,0.792,771.605,771.605,0.000
387.000,75.000,0.921,0.921,771.605,771.605,0.000
388.000,75.000,3.335,3.335,771.605,771.605,0.000
389.000,75.000,1.965,1.965,771.605,771.605,0.000
390.000,75.000,0.559,0.559,771.605,771.605,0.000
391.000,75.000,2.611,2.611,771.605,771.605,0.000
392.000,75.000,2.369,2.369,771.605,771.605,0.000
393.000,75.000,0.819,0.819,771.605,771.605,0.000
394.000,75.000,0.751,0.751,771.605,771.605,0.000
395.000,75.000,2.482,2.482,771.605,771.605,0.000
396.000,75.000,1.551,1.551,771.605,771.605,0.000
397.000,75.000,0.738,0.738,771.605,771.605,0.000
398.000,75.000,1.559,1.559,771.605,771.605,0.000
399.000,75.000,2.635,2.635,771.605,771.605,0.000
400.000,75.000,1.697,1.697,771.605,771.605,0.000
401.000,75.000,0.412,0.412,771.605,771.605,0.000
402.000,75.000,1.800,1.800,771.605,771.605,0.000
403.000,75.000,1.959,1.959,771.605,771.605,0.000
404.000,75.000,1.108,1.108,771.605,771.605,0.000
405.000,75.000,0.771,0.771,771.605,771.605,0.000
406.000,75.000,2.561,2.561,771.605,771.605,0.000
407.000,75.000,1.563,1.563,771.605,771.605,0.000
408.000,75.000,0.468,0.468,771.605,771.605,0.000
409.000,75.000,1.891,1.891,771.605,771.605,0.000
410.000,75.000,2.387,2.387,771.605,771.605,0.000
411.000,75.000,3.335,3.335,771.605,771.605,0.000
412.000,75.000,0.644,0.644,771.605,771.605,0.000
413.000,75.000,2.225,2.225,771.605,771.605,0.000
414.000,75.000,2.198,2.198,771.605,771.605,0.000
415.000,75.000,1.199,1.199,771.605,771.605,0.000
416.000,75.000,1.498,1.498,771.605,771.605,0.000
417.000,75.000,1.571,1.571,771.605,771.605,0.000
418.000,75.000,2.378,2.378,771.605,771.605,0.000
419.000,75.000,0.548,0.548,771.605,771.605,0.000
420.000,75.000,1.715,1.715,771.605,771.605,0.000
421.000,75.000,3.143,3.143,771.605,771.605,0.000
422.000,75.000,1.487,1.487,771.605,771.605,0.000
423.000,75.000,1.126,1.126,771.605,771.605,0.000
